nome_campus;sigla_universidade;tipo;ano_criacao_campus;codigo_municipio;nome_municipio
CEFET/MG - Araxá;CEFET/MG;instituto federal;2008;3104007;Araxá
CEFET/MG - Belo Horizonte;CEFET/MG;instituto federal;2008;3106200;Belo Horizonte
CEFET/MG - Contagem;CEFET/MG;instituto federal;2023;3118601;Contagem
CEFET/MG - Curvelo;CEFET/MG;instituto federal;2013;3120904;Curvelo
CEFET/MG - Divinópolis;CEFET/MG;instituto federal;2008;3122306;Divinópolis
CEFET/MG - Leopoldina;CEFET/MG;instituto federal;2008;3138401;Leopoldina
CEFET/MG - Nepomuceno;CEFET/MG;instituto federal;2015;3144607;Nepomuceno
CEFET/MG - Timóteo;CEFET/MG;instituto federal;2009;3168705;Timóteo
CEFET/MG - Varginha;CEFET/MG;instituto federal;2016;3170701;Varginha
CEFET/RJ - Angra dos Reis;CEFET/RJ;instituto federal;2014;3300100;Angra dos Reis
CEFET/RJ - Itaguaí;CEFET/RJ;instituto federal;2010;3302007;Itaguaí
CEFET/RJ - Nova Friburgo;CEFET/RJ;instituto federal;2008;3303401;Nova Friburgo
CEFET/RJ - Nova Iguaçu;CEFET/RJ;instituto federal;2008;3303500;Nova Iguaçu
CEFET/RJ - Petrópolis;CEFET/RJ;instituto federal;2008;3303906;Petrópolis
CEFET/RJ - Rio de Janeiro;CEFET/RJ;instituto federal;2008;3304557;Rio de Janeiro
CEFET/RJ - Valença;CEFET/RJ;instituto federal;2014;3306107;Valença
CP II - Rio de Janeiro;CP II;instituto federal;2020;3304557;Rio de Janeiro
FURG - Rio Grande;FURG;universidade;2008;4315602;Rio Grande
FURG - Santa Vitória do Palmar;FURG;universidade;2010;4317301;Santa Vitória do Palmar
FURG - Santo Antônio da Patrulha;FURG;universidade;2009;4317608;Santo Antônio da Patrulha
FURG - São Lourenço do Sul;FURG;universidade;2010;4318804;São Lourenço do Sul
IF Catarinense - Abelardo Luz;IF Catarinense;instituto federal;2018;4200101;Abelardo Luz
IF Catarinense - Araquari;IF Catarinense;instituto federal;2010;4201307;Araquari
IF Catarinense - Blumenau;IF Catarinense;instituto federal;2013;4202404;Blumenau
IF Catarinense - Brusque;IF Catarinense;instituto federal;2017;4202909;Brusque
IF Catarinense - Camboriú;IF Catarinense;instituto federal;2010;4203204;Camboriú
